# Stockfish 19, depth 10, Threads 1, White-point-of-view centipawns clipped to +-1500
fen,cp
2k3r1/8/p3p1b1/Pp1pN3/1P5p/2PR1P2/3Q4/5K2 w - - 1 59,812
1k6/8/p3p1r1/Pp1p4/1P6/2PR1P1Q/8/5K2 w - - 1 62,1053
8/8/p2kp1Q1/Pp1p4/1P6/2PR1P2/8/5K2 b - - 0 64,1108
8/4k3/p3p1Q1/Pp1p4/1P6/2P1RP2/8/5K2 b - - 2 65,1500
r3kbnr/pp1n1ppp/1q2p3/1BppPb2/3P4/5N2/PPPN1PPP/R1BQ1RK1 w kq - 4 8,160
r1k3nr/pp3ppp/4p3/2qpPb2/8/5N2/PPP2PPP/R1BQ1RK1 w - - 0 12,291
r1k4r/pp2nppp/4p3/2qpPb2/3N1B2/8/PPP2PPP/R2Q1RK1 b - - 3 13,156
r1k4r/pp2nppp/4p3/2qpP3/3NbB2/8/PPP2PPP/R2Q1RK1 w - - 4 14,197
r1k4r/pp2nppp/4p3/2qpP3/3Nb3/4B3/PPP2PPP/R2Q1RK1 b - - 5 14,218
r1k4r/pp3ppp/2n1p3/2qpP3/3Nb3/4B3/PPP2PPP/R2Q1RK1 w - - 6 15,266
r1k4r/pp3ppp/2q1p3/3pP3/8/4B3/PPP2PKP/2RQ1R2 b - - 0 17,31
r2r4/p1k2ppp/4p3/1p2P3/5P2/4K3/PPP4P/3R1R2 w - - 0 23,16
2rr4/p1k2p1p/4p1p1/1p2P3/5P2/8/PPP2K1P/3R2R1 w - - 0 25,-7
2rr4/pk3p1p/4p1p1/1p2P3/5P1P/8/PPP2K2/3R2R1 w - - 1 26,3
3r4/pk3p1p/4p1p1/1p2P3/5P1P/8/PPP2K2/6R1 w - - 0 27,0
3r4/1k3p1p/4p1p1/1p2P3/p4P1P/2P2K2/PP6/6R1 w - - 0 29,-6
3r4/1k3p1p/4p1p1/1p2P3/p4P1P/2P2K2/PP4R1/8 b - - 1 29,-16
3r4/5p2/1k2p1p1/1p2P2p/p4P1P/2P1K3/PP4R1/8 w - - 0 31,99
8/5p2/1k2p1p1/4P2p/p4P1P/2P1K3/P5R1/3r4 w - - 0 33,-20
8/5p2/4p1p1/2k1P2p/p1P1KP1r/6R1/P7/8 w - - 2 36,-382
8/5p2/4p1p1/2k1P2p/p1P1KP2/7r/P1R5/8 b - - 5 37,-559
8/5p2/4p1p1/2k1P3/p1P1KP1p/r7/PR6/8 w - - 0 39,-526
8/8/1k2p1p1/4P3/5P2/p4K2/1r6/2R5 b - - 10 47,-166
8/8/4p1p1/1k2P3/4KP2/8/pr6/R7 b - - 3 49,-558
8/8/4p1p1/1k2P3/5P2/3K4/p4r2/R7 w - - 6 51,-482
8/8/4p1p1/4P3/rk3P2/4K3/p7/2R5 w - - 18 57,-587
8/8/4p1p1/4P3/rk3P2/4K3/p7/R7 b - - 19 57,-538
8/8/4p1p1/4P3/2k2P2/4K3/8/r7 b - - 3 61,-657
8/8/4p1p1/3kP3/5P2/r7/4K3/8 w - - 6 63,-666
8/8/4p1p1/4P3/4kP2/r7/3K4/8 w - - 8 64,-650
8/8/4p1p1/4P3/5k2/r7/1K6/8 b - - 1 65,-692
8/8/4p1p1/4P3/5k2/7r/1K6/8 w - - 2 66,-691
8/8/4p3/4P3/5kp1/7r/1K6/8 w - - 0 68,-1009
8/8/4p3/4P3/5k2/7r/2K5/6q1 w - - 0 71,-1052
r4bnr/pp1k1ppp/1q2p3/2ppPb2/3P4/1N3N2/PPP2PPP/R1BQ1RK1 b - - 1 9,-2
r1k3nr/pp3ppp/4p3/2qpPb2/3N4/8/PPP2PPP/R1BQ1RK1 b - - 1 12,234
r1k4r/pp2nppp/4p3/2qpPb2/3N4/8/PPP2PPP/R1BQ1RK1 w - - 2 13,237
r1k4r/pp2nppp/4p3/2qpP3/P2NbB2/8/1PP2PPP/R2Q1RK1 b - - 0 14,153
r1k4r/pp3ppp/4p1n1/2qpP3/P2NbB2/8/1PP2PPP/R2Q1RK1 w - - 1 15,355
r1k4r/pp3ppp/4p1n1/2qpP3/P2Nb3/6B1/1PP2PPP/R2Q1RK1 b - - 2 15,358
r1k4r/pp4pp/4ppn1/2qpP3/P2Nb3/6B1/1PP2PPP/R2Q1RK1 w - - 0 16,587
r1k4r/pp5p/4ppn1/2qp4/P2Nb3/5PB1/1PP3PP/R2Q1RK1 b - - 0 17,444
r1k4r/pp5p/4ppn1/2qp1b2/P2N4/5PB1/1PP3PP/R2Q1RK1 w - - 1 18,574
r1k4r/pp5p/4ppn1/2qp1b2/P2N4/5P2/1PP2BPP/R2Q1RK1 b - - 2 18,578
r1k4r/pp5p/3qppn1/3p1b2/P2N2P1/5P2/1PP2B1P/R2Q1RK1 b - - 0 19,658
r1k4r/pp5p/3qppn1/8/P2Np1P1/8/1PP2B1P/R2Q1RK1 w - - 0 21,749
r1k4r/pp5p/3qppn1/8/P2Np1P1/8/1PP2B1P/R2QR1K1 b - - 1 21,592
r1k4r/pp5p/3q1pn1/8/P2R2P1/8/1PP2B1P/R2Q2K1 b - - 0 23,749
r1k4r/ppq4p/5pn1/8/P2R2P1/8/1PP2B1P/R2Q2K1 w - - 1 24,705
r1k4r/ppq4p/5pn1/8/P2R2P1/8/1PP1QB1P/R5K1 b - - 2 24,647
r1k4r/ppq4p/5p2/8/P2R1nP1/8/1PP1QB1P/R5K1 w - - 3 25,845
r1k4r/ppq4p/5p2/8/P2R1nP1/5Q2/1PP2B1P/R5K1 b - - 4 25,799
r1k4r/ppq4p/5pn1/8/P2R2P1/5Q2/1PP2B1P/R5K1 w - - 5 26,878
rk5r/ppq4p/5pn1/5Q2/P2R2P1/8/1PP2B1P/R5K1 w - - 7 27,735
rk5r/ppq4p/5pn1/5Q2/P2R2P1/6B1/1PP4P/R5K1 b - - 8 27,909
rk5r/ppq4p/5p2/4nQ2/P2R2P1/6B1/1PP4P/4R1K1 b - - 10 28,783
rk5r/ppq5/5Q2/4n2p/P2R2P1/6B1/1PP4P/4R1K1 b - - 0 29,1135
rkr5/ppq5/5Q2/4B2p/P2R2P1/8/1PP4P/4R1K1 b - - 0 30,1221
r1k4r/pp3ppp/4p3/2qpP3/3Bb3/5P2/PPP3PP/R2Q1RK1 b - - 0 16,654
r1k4r/pp2qppp/4p3/4P3/3Bp3/8/PPP3PP/R2Q1RK1 w - - 0 18,782
r1k4r/pp2qppp/4p3/4P3/3Bp3/8/PPP1Q1PP/R4RK1 b - - 1 18,659
r1kr4/pp2qpp1/4p3/4P2p/3BQ3/8/PPP3PP/3R1RK1 b - - 1 20,718
r1kr4/pp2qp2/4p3/4P1pp/3BQ3/8/PPP3PP/3R1RK1 w - - 0 21,832
r1kr4/pp3p1Q/4p3/4P1pp/1q1B4/8/PPP3PP/3R1RK1 w - - 2 22,920
r1kr4/pp3R1Q/4p3/4P1pp/2qB4/8/PPP3PP/3R2K1 w - - 1 23,927
r1kr4/pp3R2/4p3/3qP1pp/3BQ3/8/PPP3PP/3R2K1 w - - 3 24,803
r1kr4/pp3R2/4P3/3p2pp/3B4/8/PPP3PP/3R2K1 b - - 0 25,829
r3r3/pp1kPR2/8/3p2pp/3B4/8/PPP3PP/3R2K1 w - - 1 27,812
r3r3/pp1kPR2/8/2Bp2pp/8/8/PPP3PP/3R2K1 b - - 2 27,810
r3r3/p3PR2/1pk5/3p2pp/1P1B4/8/P1P3PP/3R2K1 b - - 1 29,803
r3r3/p3PR2/1p6/1k1p2pp/1P6/2B5/P1P3PP/3R2K1 b - - 3 30,700
r3r3/p3PR2/1pk5/3p2pp/1P6/2B5/P1P3PP/3R2K1 w - - 4 31,788
r3r3/p3PR2/1pk5/3p2pp/PP6/2B5/2P3PP/3R2K1 b - - 0 31,726
2r1r3/p3P3/1p3k2/1P1p2Rp/P7/8/2P3PP/3R2K1 w - - 1 36,503
8/p3r3/1p3k2/1PrR3R/P6P/6PK/8/8 b - - 0 42,511
8/p3r1k1/1p6/1P1R4/P4P1P/7K/8/8 b - - 0 45,343
8/p2R4/1p3k2/1P6/P3rP1P/7K/8/8 w - - 3 47,397
8/R7/1p3k2/1P6/P4r1P/7K/8/8 w - - 0 48,382
8/R7/1p3k2/PP6/5r1P/7K/8/8 b - - 0 48,225
8/8/8/RP2k3/5r1P/7K/8/8 b - - 0 50,261
8/8/1P6/8/5k1P/7K/8/8 b - - 0 53,603
8/8/1P6/8/4k2P/7K/8/8 w - - 1 54,611
8/8/1P6/7P/4k3/7K/8/8 b - - 0 54,661
8/1P6/8/5k1P/8/7K/8/8 b - - 0 55,546
rn1qkb1r/pp2nppp/2p1p3/3pP3/2PPb3/5N1P/PP1N1PP1/R1BQKB1R b KQkq - 2 7,2
r3kb1r/pp1nnppp/2p1p3/q2pP3/2PP4/5K1P/PP1N1PP1/R1BQ1B1R w kq - 1 10,-18
2kr1b1r/ppqnnppp/2p1p3/3pP3/2PP2P1/3B1K1P/PP1N1P2/R1BQ3R w - - 1 12,-23
2k1rb1r/ppqnn1pp/2p1pp2/3pP3/2PP1PP1/3B3P/PP1N2K1/R1BQ3R w - - 1 14,203
2k1rb1r/ppqnn1pp/2p1p3/3pPp2/2PP1PP1/3B3P/PPQN4/R1B3KR b - - 1 15,98
2k1rb1r/ppqnn1pp/4p3/4P3/2QN1PP1/3B4/PP6/R1B3KR b - - 0 19,182
1k2rb2/p1qn2pB/Q1p1p3/4P3/5PP1/8/PP6/R1B3K1 b - - 0 23,13
1k2rb2/p1q3pB/Q1p1p3/2n1P3/5PP1/8/PP6/R1B3K1 w - - 1 24,178
1k1r1b2/p2q2pB/2p1p3/2n1P3/5PP1/4B1Q1/PP6/R5K1 b - - 6 26,102
1k1r1b2/p2q3B/2p1p3/2n1P1p1/5PP1/4B1Q1/PP6/R5K1 w - - 0 27,112
1k1r1b2/p2q4/2p1p1B1/2n1P3/5QP1/4B3/PP6/R5K1 b - - 0 28,53
1k1r1b2/p7/2p1p3/4P3/5QP1/3qB3/PP6/R5K1 w - - 0 30,64
1k1r1b2/p7/2p1p3/4P3/6P1/3qB3/PP3Q2/R5K1 b - - 1 30,-17
1k2rb2/p5q1/2p1p3/4P3/3B2P1/8/PP3Q2/R5K1 w - - 6 33,46
1k2rb2/p5q1/2p1p3/4P3/3B2P1/8/PP4Q1/R5K1 b - - 7 33,-5
1k2rb2/p5q1/4p3/4P3/2p3P1/2B5/PP4Q1/R5K1 w - - 0 35,31
1k2rb2/p5q1/4p3/4P3/2pB2P1/8/PP4Q1/R5K1 b - - 1 35,19
1k1r4/p5q1/4p3/2b1P3/2pB2P1/8/PP4Q1/3R2K1 w - - 4 37,-352
1k1r4/p7/4p3/2B1P3/2p3P1/8/PP1qQK2/8 b - - 3 40,-668
8/Q7/4p3/3k4/6P1/6K1/P1q5/8 b - - 2 47,33
8/8/4p3/3k4/6P1/8/P4K2/8 b - - 0 50,446
8/8/4p3/8/P2k2P1/6K1/8/8 b - - 0 52,509
8/8/8/4p3/P2k2P1/6K1/8/8 w - - 0 53,476
8/8/8/4p1P1/P2k4/6K1/8/8 b - - 0 53,524
8/6P1/8/4p3/P2k4/6K1/8/8 b - - 0 55,695
3Q4/8/8/2k1p3/P7/6K1/8/8 w - - 3 58,764
3Q4/8/8/P3p3/2k5/6K1/8/8 w - - 1 59,1041
3Q4/8/P7/4p3/2k5/6K1/8/8 b - - 0 59,829
3Q4/8/P7/8/2k1p3/6K1/8/8 w - - 0 60,1233
3Q4/P7/8/8/2k1p3/6K1/8/8 b - - 0 60,1271
rn2kb1r/pp2nppp/2p1p3/q2pP3/2PPb3/5N1P/PP1N1PP1/R1BQKB1R w KQkq - 3 8,5
rn2kb1r/pp2nppp/2p1p3/q2pP3/2PPb3/5N1P/PP1N1PPR/R1BQKB2 b Qkq - 4 8,-205
r3kb1r/pp1nnppp/2p1p3/q2pP3/2PPb3/5N1P/PP1N1PPR/R1BQKB2 w Qkq - 5 9,-180
r3kb1r/pp1nnppp/2p1p3/q2pP3/2PPb3/5N1P/PP1NKPPR/R1BQ1B2 b kq - 6 9,-346
r3kb1r/pp1nnppp/2p1p3/q2pP3/2PP4/5K1P/PP1N1PPR/R1BQ1B2 b kq - 0 10,-271
2kr1b1r/pp1nnppp/2p1p3/q2pP3/2PP4/5K1P/PP1N1PPR/R1BQ1B2 w - - 1 11,-80
2kr1b1r/pp1nnppp/2p1p3/q2pP3/2PP2P1/5K1P/PP1N1P1R/R1BQ1B2 b - - 0 11,-160
2kr1b1r/pp1nn1pp/2p1pp2/q2pP3/2PP2P1/5K1P/PP1N1P1R/R1BQ1B2 w - - 0 12,-128
2kr1b1r/pp1nn1pp/2p1pp2/q2pP3/2PP2P1/1N3K1P/PP3P1R/R1BQ1B2 b - - 1 12,-211
2kr1b1r/ppqnn1pp/2p1pp2/3pP3/2PP2P1/1N3K1P/PP3P1R/R1BQ1B2 w - - 2 13,-224
2kr1b1r/ppqnn1pp/2p1p3/3pp3/2PP2P1/1N5P/PP3PKR/R1BQ1B2 w - - 0 14,-262
2kr1b1r/ppqnn1pp/2p1p3/3pp3/2PP2P1/1N5P/PP3P1R/R1BQ1BK1 b - - 1 14,-293
2kr1b1r/ppq1n1pp/2p1pn2/3pp3/2PP2P1/1N5P/PP3P1R/R1BQ1BK1 w - - 2 15,14
2kr1b1r/ppq1n1pp/2p1pn2/3pp3/2PP2P1/1N1B3P/PP3P1R/R1BQ2K1 b - - 3 15,-278
1k1r1b1r/ppq1n1pp/2p1pn2/3pp3/2PP2P1/1N1B3P/PP3P1R/R1BQ2K1 w - - 4 16,-169
1k1r1b1r/ppq1n1pp/2p1pn2/3pp3/2PP2P1/1N1BB2P/PP3P1R/R2Q2K1 b - - 5 16,-339
1k1r1b1r/ppq1n1p1/2p1pn2/3pp2p/2PP2P1/1N1BB2P/PP3P1R/R2Q2K1 w - - 0 17,-55
1k1r1b1r/ppq1n1p1/2p1pn2/3pp1Pp/2PP4/1N1BB2P/PP3P1R/R2Q2K1 b - - 0 17,-253
1k1r1b1r/ppq1n1p1/2p1p3/6Pp/2PNp3/4B2P/PP2QP1R/R5K1 b - - 0 20,-167
1k3b1r/pp1rn1p1/2p1N3/6Pp/2P1p3/4B2P/PP2QP1K/R7 b - - 0 22,694
1k5r/pp1r4/2pbN1p1/5nPp/2P1QB2/7P/PP3P1K/3R4 b - - 1 25,759
7r/pp1k4/2p1N1p1/5nPp/2P2Q2/7P/PP3P1K/8 w - - 0 28,845
4r3/pp1k4/2p1N1p1/4QnPp/2P5/7P/PP3P1K/8 w - - 2 29,838
5k2/p7/2p3Q1/2N3Pp/2P5/4n2P/PP2rP1K/8 w - - 1 34,832
6k1/p7/2p5/2N3Pp/2P5/4nQ1P/PP2rP1K/8 b - - 4 35,600
8/p6k/2p5/2N3Pp/2P5/4Q2P/Pr3P1K/8 w - - 1 37,1193
6k1/p7/2p5/2N3Pp/2P1Q3/7P/Pr3P1K/8 w - - 3 38,1222
6k1/p7/2p5/2N3Pp/2P5/7P/PQ3P1K/8 b - - 0 40,1361
6k1/p7/2p5/2N3P1/2P4p/7P/PQ3P1K/8 w - - 0 41,1401
r2qkb1r/pp1nnppp/2p1p3/4P1N1/2PPp3/7P/PP3PP1/R1BQKB1R b KQkq - 1 9,70
r3kb1r/pp1nnppp/2p1p3/4P1N1/2PPp3/7P/PP1B1PP1/R3KB1R b KQkq - 0 11,116
r3kb1r/pp1n1ppp/2p1p3/4P3/2PnN3/7P/PP1B1PP1/R3KB1R w KQkq - 0 13,-14
r3k2r/pp1n1ppp/2pPp3/8/2P5/7P/PP1B1PP1/n2K1B1R w kq - 0 16,-388
r3k2r/pp1n1ppp/2pPp3/8/2P5/2B4P/PP3PP1/n2K1B1R b kq - 1 16,-463
r3k2r/pp3ppp/2pPpn2/8/2P5/2B4P/PP3PP1/n2K1B1R w kq - 2 17,-319
r3k2r/pp3ppp/2pPpn2/8/1PP5/2B4P/P4PP1/n2K1B1R b kq - 0 17,-544
r3k2r/pp3pBp/2pPp3/8/1PP5/7P/P4nP1/n3KB1R b kq - 1 19,-731
r3k2B/pp3p1p/2pPp3/8/1nP5/6nP/P2K2P1/5B2 w q - 0 23,-722
r3k2B/pp5p/2pPp3/5p2/1nP5/3B2nP/P2K2P1/8 w q - 0 24,-712
r3k2B/pp5p/2pPp3/5p2/2P5/3K2nP/P5P1/8 b q - 0 25,-752
r7/pp1k3p/2pnp3/4Bp2/6P1/4K2P/P7/8 w - - 0 30,-818
r7/pp1k3p/2pnp3/5p2/3B2P1/4K2P/P7/8 b - - 1 30,-881
r7/1p1k3p/2pnp3/p4p2/3B2P1/4K2P/P7/8 w - - 0 31,-820
6r1/1p1k2Bp/2pnp3/p4p2/5KP1/7P/P7/8 w - - 4 33,-795
6r1/1p1k3p/2pnp3/p4p2/3B1KP1/7P/P7/8 b - - 5 33,-867
3r4/1p1k3p/2pnp3/p4p2/3B1KP1/7P/P7/8 w - - 6 34,-814
3r4/1p1k3p/2pnpB2/p4p2/5KP1/7P/P7/8 b - - 7 34,-904
2r5/1p1k3p/2pnpB2/p4p2/5KP1/7P/P7/8 w - - 8 35,-836
2r5/1p1k3p/2pnp3/p3B3/5KP1/8/P7/8 b - - 0 36,-838
5r2/1p1k3p/2pnp3/p3B3/6P1/4K3/P7/8 b - - 2 37,-823
8/1p5p/3kp3/1Kp5/p5r1/8/P7/8 w - - 0 42,-766
8/1p6/3kp3/K1p4p/p5r1/8/P7/8 w - - 0 43,-770
8/8/K2kp3/2p4p/1r6/p7/P7/8 b - - 2 45,-791
8/8/K2k4/2p1p2p/1r6/p7/P7/8 w - - 0 46,-693
8/K7/3k4/2p1p2p/8/p7/Pr6/8 w - - 2 47,-705
8/8/K2k4/2p1p2p/8/p7/r7/8 w - - 0 48,-936
8/8/3k4/1Kp1p2p/8/p7/r7/8 b - - 1 48,-1105
8/8/3k4/2p1p2p/2K5/p7/1r6/8 b - - 3 49,-1500
rn2kb1r/pp2nppp/2p1p3/q2pP3/2PPb3/5N1P/PP1NKPP1/R1BQ1B1R b kq - 4 8,-169
r3kb1r/pp1nnppp/2p1p3/4P3/3q4/7P/PP1NKPP1/R1BQ1B1R w kq - 0 12,-489
3rkb1r/pp3ppp/2p1p1n1/4q3/P7/7P/1P2QKP1/R1B2B1R w k - 3 18,-645
3rkb1r/pp3ppp/2p1p3/4n3/P4B2/7P/1P3KP1/R4B1R b k - 1 19,-679
3rk2r/pp3ppp/2p1p3/2b3B1/P7/3n2KP/1P4P1/R4B1R b k - 5 21,-790
3r3r/pp2kppp/2p1p3/8/P7/1P1n2KP/6P1/R4B1R b - - 0 23,-724
3r3r/pp2kppp/2p5/4p3/P7/1P1n2KP/6P1/R4BR1 b - - 1 24,-752
3r1k1r/pp4pp/2p5/5p2/P3p3/1P1n2KP/6P1/3R1BR1 b - - 1 27,-700
3r2kr/pp5p/2p5/6p1/P3pp2/1P1n3P/6PK/3R1B1R w - - 2 30,-570
4k3/pp5p/2p5/6p1/P2r1p2/1P1p3P/6P1/3R2K1 w - - 0 35,-619
8/pp3k1p/2p5/6p1/P2r1p2/1P1p1K1P/6P1/3R4 b - - 3 36,-685
8/pp3k2/2p5/6pp/P2r1p2/1P1p1K1P/6P1/3R4 w - - 0 37,-660
8/pp3k2/2p5/P5pp/3r1p2/1P1p1K1P/6P1/3R4 b - - 0 37,-687
8/p2r1k2/Ppp5/6p1/4Kp1p/1P1p3P/3R2P1/8 b - - 3 40,-590
8/p7/Pp3k2/2p3p1/5p1p/1P3K1P/6P1/8 b - - 3 47,-599
8/p7/P4k2/1pp3p1/4Kp1p/1P5P/6P1/8 b - - 1 48,-579
8/p7/P3k3/1pp3p1/4Kp1p/1P5P/6P1/8 w - - 2 49,-585
8/p7/P3k3/6p1/1pP2p1p/5K1P/6P1/8 w - - 0 51,-529
8/p7/P3k3/6p1/1pP1Kp1p/7P/6P1/8 b - - 1 51,-531
8/p7/P3k3/6p1/2P2p1p/3K3P/1p4P1/8 w - - 0 53,-602
8/p7/P2k4/6p1/2P2p1p/7P/1K4P1/8 b - - 0 54,-471
8/p7/P1k5/6p1/2P2p1p/7P/2K3P1/8 b - - 2 55,-434
8/p7/1k6/6p1/2P1Kp1p/7P/6P1/8 w - - 2 58,-489
8/p7/8/6K1/3k3p/7P/6P1/8 b - - 2 61,-577
8/8/8/p7/3k3K/7P/6P1/8 b - - 0 62,-593
8/8/8/8/3k3P/8/6PK/q7 w - - 0 66,-718
8/8/8/8/3k2PP/8/7K/q7 b - - 0 66,-823
8/8/8/8/3k1qPP/8/6K1/8 w - - 5 69,-688
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 5,39
rn1qkb1r/pp2nppp/2p1p3/3pPb2/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 1 6,45
rn1qkb1r/pp2nppp/2p1p3/3pPb2/3P4/2P2N2/PP2BPPP/RNBQK2R b KQkq - 2 6,53
r2qkb1r/pp1nnppp/2p1p3/3pPb2/3P4/2P2N2/PP2BPPP/RNBQK2R w KQkq - 3 7,42
r2qkb1r/pp1nnppp/2p1p3/3pPb2/3P4/2P2N2/PP1NBPPP/R1BQK2R b KQkq - 4 7,41
r3kb1r/ppqnnppp/2p1p3/3pPb2/3P4/2P2N2/PP1NBPPP/R1BQK2R w KQkq - 5 8,96
r3kb1r/ppqnnppp/2p1p3/3pPb2/3P4/2P2N2/PP1NBPPP/R1BQ1RK1 b kq - 6 8,50
2kr1b1r/ppqnnppp/2p1p3/3pPb2/3P4/2P2N2/PP1NBPPP/R1BQ1RK1 w - - 7 9,307
2kr1b1r/ppqnnppp/2p1p3/3pPb2/3P3N/2P5/PP1NBPPP/R1BQ1RK1 b - - 8 9,91
1k1r1b1r/ppqn1ppp/2p1p3/3pPn2/3P4/2P5/PP1NBPPP/R1BQ1RK1 w - - 0 11,118
1k1r1b1r/ppqn1ppp/2p1p3/3pPn2/3P2P1/2P5/PP1NBP1P/R1BQ1RK1 b - - 0 11,19
1k1r1b1r/ppqnnppp/2p1p3/3pP3/3P2P1/2P5/PP1NBP1P/R1BQ1RK1 w - - 1 12,102
1k1r1b1r/ppqnnppp/2p1p3/3pP3/3P2P1/2P2N2/PP2BP1P/R1BQ1RK1 b - - 2 12,53
1k1r1b1r/ppqnn1pp/2p1pp2/3pP3/3P2P1/2P2N2/PP2BP1P/R1BQ1RK1 w - - 0 13,-8
1k1r1b1r/ppq1n1pp/2p1pn2/3p4/3P2P1/2P2N2/PP2BP1P/R1BQ1RK1 w - - 0 14,345
1k1r1b1r/ppq1n1pp/2p1pn2/3pN3/3P2P1/2P5/PP2BP1P/R1BQ1RK1 b - - 1 14,33
1k1r1b1r/ppq3p1/2p1pnp1/3p4/3P2P1/2P5/PP2BP1P/R1BQ1RK1 w - - 0 16,-354
1k1r1b1r/ppq3p1/2p1pnp1/3p4/3P1PP1/2P5/PP2B2P/R1BQ1RK1 b - - 0 16,-260
1k1r3r/ppq3p1/2pbpnp1/3p4/3P1PP1/2P5/PP2B2P/R1BQ1RK1 w - - 1 17,-218
1k1r3r/ppq3p1/2pbpnp1/3p4/3P1PP1/2P1B3/PP2B2P/R2Q1RK1 b - - 2 17,-544
1k1r3r/ppq3p1/2pbpn2/3p2p1/3P1PP1/2P1B3/PP2B2P/R2Q1RK1 w - - 0 18,-511
1k1r4/ppq3p1/2pbpn2/3p2p1/3P1PPr/2P1B3/PP1QB2P/R4RK1 w - - 2 19,-622
r2qkbnr/pp1n1ppp/2p1p3/3pP3/3P4/2PQ1N2/PP3PPP/RNB1K2R b KQkq - 0 7,11
r3kbnr/pp1nqppp/2p1p3/3pP3/3P4/2PQ1N2/PP3PPP/RNB1K2R w KQkq - 1 8,59
r3kbnr/pp1nqppp/2p1p3/3pP3/3P4/2PQ1N2/PP3PPP/RNB2RK1 b kq - 2 8,53
2krqbnr/pp1n1ppp/2p1p3/3pP3/3P4/2P2N2/PP2QPPP/RNB2RK1 w - - 5 10,136
1k1rqb1r/pp1nnppp/2p1p3/3pP3/1P1P1B2/2P2N2/P2NQPPP/R4RK1 b - - 0 12,69
1k1rqb1r/pp1nnpp1/2p1p3/3pP2p/1P1P1B2/2P2N2/P2NQPPP/R3R1K1 b - - 1 13,120
1k1rqb1r/pp1n1pp1/2p1p3/3pPn1p/1P1P1B2/2P2N2/P2NQPPP/R3R1K1 w - - 2 14,117
